Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
NORTH CHEVY CHASE,8817 BRIERLY RD,CHEVY CHASE,20815,07/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SEAN MUFFITT,Country Club,"8817 BRIERLY RD
CHEVY CHASE, MD 20815
(39.00021, -77.0696)",19793
WATER PARK-BOHRER PARK,512 S FREDERICK AVE,GAITHERSBURG,20877,07/18/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"512 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.133504, -77.190206)",19896
AVENEL SWIM CLUB,10001 OAKLYN DR,POTOMAC,20854,07/03/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AVENEL COMMUNITY ASSOCIATION,Country Club,"10001 OAKLYN DR
POTOMAC, MD 20854
(38.996157, -77.197756)",19998
AVENEL SWIM CLUB,10001 OAKLYN DR,POTOMAC,20854,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AVENEL COMMUNITY ASSOCIATION,Country Club,"10001 OAKLYN DR
POTOMAC, MD 20854
(38.996157, -77.197756)",19998
BRETTON WOODS,15700 RIVER RD,GERMANTOWN,20874,06/21/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INTERNATIONAL MONETARY FUND,Community,"15700 RIVER RD
GERMANTOWN, MD 20874
(39.077899, -77.327158)",19586
4701 WILLARD,4701 WILLARD AVE,CHEVY CHASE,20815,07/11/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EQUITY RESIDENTAL,Apartments/Condos,"4701 WILLARD AVE
CHEVY CHASE, MD 20815
(38.96276, -77.093644)",19730
ESCHER,1900 CHAPMAN AVE,Rockville,20852,08/30/2019,,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ESCHER,Apartments/Condos,"1900 CHAPMAN AVE
Rockville, MD 20852
(39.059382, -77.119534)",33315
FOXWOOD,117 AUTUMN HILL WAY,GAITHERSBURG,20878,06/26/2019,Pool closed AND requires re-inspection prior to re,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FOXWOOD HOMEOWNERS ASSOCIATION,Apartments/Condos,"117 AUTUMN HILL WAY
GAITHERSBURG, MD 20878
(39.132237, -77.204172)",19979
FOXWOOD,117 AUTUMN HILL WAY,GAITHERSBURG,20878,06/28/2019,No Critical Violations,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FOXWOOD HOMEOWNERS ASSOCIATION,Apartments/Condos,"117 AUTUMN HILL WAY
GAITHERSBURG, MD 20878
(39.132237, -77.204172)",19979
KIDS FIRST-GERMANTOWN,18050 MATENY RD,GERMANTOWN,20874,07/19/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GARY L. ROTH,Other,"18050 MATENY RD
GERMANTOWN, MD 20874
(39.146898, -77.272921)",24341
CEDARBROOK CLUB,10150 CEDAR LN,KENSINGTON,20895,07/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"CEDARBROOK CLUB, INC",Community,"10150 CEDAR LN
KENSINGTON, MD 20895
(39.022896, -77.082552)",19602
HILLSIDE SENIOR LIVING,200 SKIDMORE BLVD,Gaithersburg,20877,06/26/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HH VENTURE LP,Apartments/Condos,"200 SKIDMORE BLVD
Gaithersburg, MD 20877
(39.126528, -77.180791)",33410
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,04/17/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
MONTGOMERY PLACE,8825 CENTERWAY RD,GAITHERSBURG,20879,07/10/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY PLACE CA,Community,"8825 CENTERWAY RD
GAITHERSBURG, MD 20879
(39.169753, -77.18481)",19785
BRETTON WOODS,15700 RIVER RD,GERMANTOWN,20874,07/18/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INTERNATIONAL MONETARY FUND,Community,"15700 RIVER RD
GERMANTOWN, MD 20874
(39.077899, -77.327158)",19586
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,05/10/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
AMBER COMMONS,7 MCCAUSLAND PL,GAITHERSBURG,20877,06/26/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"WDP-RST, LLC",Apartments/Condos,"7 MCCAUSLAND PL
GAITHERSBURG, MD 20877
(39.129135, -77.194636)",22428
COURTYARD CHEVY CHASE,5520 WISCONSIN AVE,CHEVY CHASE,20815,05/22/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GROSVENOR,Hotel,"5520 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.964264, -77.087517)",19720
CHURCHILL VILLAGE-WANEGARDEN,13601 WANEGARDEN DR,GERMANTOWN,20874,07/19/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CHURCHILL VILLAGE SOUTH HOA,Community,"13601 WANEGARDEN DR
GERMANTOWN, MD 20874
(39.183672, -77.287502)",19616
WILLIAMSBURG SQUARE,18274 SMOKEHOUSE CT,GERMANTOWN,20874,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,STEVE LESKOWITZ,Community,"18274 SMOKEHOUSE CT
GERMANTOWN, MD 20874
(39.154709, -77.267332)",19952
WATER'S LANDING B,13501 WATER'S LANDING DR,GERMANTOWN,20874,07/19/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WATERS LANDING  ASSOC,Community,"13501 WATER'S LANDING DR
GERMANTOWN, MD 20874
(39.190795, -77.270882)",19933
GLENWOOD RECREATION CLUB,10012 GARDINER AVE,SILVER SPRING,20902,07/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLENWOOD RECREATION CLUB,Country Club,"10012 GARDINER AVE
SILVER SPRING, MD 20902
(39.019603, -77.050561)",19690
HIDDEN CREEK,600 PELICAN DR,GAITHERSBURG,20877,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HIDDEN CREEK HOA,Apartments/Condos,"600 PELICAN DR
GAITHERSBURG, MD 20877
(39.153866, -77.190543)",19545
DARNESTOWN SWIM & RACQUET,15004 SPRING MEADOWS DR,Germantown,20874,05/07/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MEMBER OWNED,Community,"15004 SPRING MEADOWS DR
Germantown, MD 20874
(39.101312, -77.307722)",19644
HEWITT GARDENS,3335 HEWITT AVE,SILVER SPRING,20906,07/02/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FALLER MANAGEMENT CO INC,Community,"3335 HEWITT AVE
SILVER SPRING, MD 20906
(39.079309, -77.067773)",19714
COLUMBIA TOWERS,12001 OLD COLUMBIA PK,SILVER SPRING,20904,07/02/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COLUMBIA TOWERS,Apartments/Condos,"12001 OLD COLUMBIA PK
SILVER SPRING, MD 20904
(39.053272, -76.975033)",19628
GAITHERSBURG STATION,370 E DIAMOND AVE,Gaithersburg,20877,07/13/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EQUITY RESIDENTIAL,Apartments/Condos,"370 E DIAMOND AVE
Gaithersburg, MD 20877
(39.142111, -77.190888)",24222
COURTYARD CHEVY CHASE,5520 WISCONSIN AVE,CHEVY CHASE,20815,08/28/2019,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GROSVENOR,Hotel,"5520 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.964264, -77.087517)",19720
WASHINGTONIAN WOODS,511 MIDSUMMER DR,GAITHERSBURG,20878,05/17/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"PROPERTY MANAGEMENT PEOPLE, INC",Community,"511 MIDSUMMER DR
GAITHERSBURG, MD 20878
(39.109885, -77.222383)",19929
NORTH PARK,4615 N PARK AVE,CHEVY CHASE,20815,08/08/2019,No Critical Violations,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAPITAL PROPERTIES,Apartments/Condos,"4615 N PARK AVE
CHEVY CHASE, MD 20815
(38.963491, -77.091001)",19797
NORTHGATE,14221 GRAND PRE RD,SILVER SPRING,20906,08/08/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FULLER MANAGEMENT CO INC,Apartments/Condos,"14221 GRAND PRE RD
SILVER SPRING, MD 20906
(39.089889, -77.076414)",19796
BRETTON WOODS,15700 RIVER RD,GERMANTOWN,20874,08/20/2019,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INTERNATIONAL MONETARY FUND,Community,"15700 RIVER RD
GERMANTOWN, MD 20874
(39.077899, -77.327158)",19586
DARNESTOWN SWIM & RACQUET,15004 SPRING MEADOWS DR,Germantown,20874,07/25/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MEMBER OWNED,Community,"15004 SPRING MEADOWS DR
Germantown, MD 20874
(39.101312, -77.307722)",19644
KENWOOD PLACE,5301 WESTBARD CIR,BETHESDA,20816,07/02/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KENWOOD PLACE CONDOMINIUMS,Apartments/Condos,"5301 WESTBARD CIR
BETHESDA, MD 20816
(38.963854, -77.108744)",19739
HERMITAGE SQUARE,3213 HEWITT AVE,WHEATON,20906,07/02/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RIMSI CORP,Apartments/Condos,"3213 HEWITT AVE
WHEATON, MD 20906
(39.079591, -77.065858)",19712
WESTERN COUNTY,20151 FISHER AVE,POOLESVILLE,20837,07/02/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONT. COUNTY RECREATION,Government,"20151 FISHER AVE
POOLESVILLE, MD 20837
(39.146688, -77.421765)",19940
FIRESIDE PARK,735 MONROE ST,ROCKVILLE,20850,06/27/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RHE FIRESIDE PARK,Apartments/Condos,"735 MONROE ST
ROCKVILLE, MD 20850
(39.073532, -77.153126)",19663
ENCLAVE,11225 OAK LEAF DR,SILVER SPRING,20901,07/01/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE DONALDSON GROUP,Apartments/Condos,"11225 OAK LEAF DR
SILVER SPRING, MD 20901
(39.040254, -76.995468)",21221
HURLEY PARK,20737 HIGHLAND HALL DR,MONTGOMERY VILLAGE,20886,07/02/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"20737 HIGHLAND HALL DR
MONTGOMERY VILLAGE, MD 20886
(39.190937, -77.189228)",19725
CARLTON,4550 NORTH PARK AVE,CHEVY CHASE,20815,08/08/2019,No Critical Violations,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"LEGUM & NORMAN, INC",Apartments/Condos,"4550 NORTH PARK AVE
CHEVY CHASE, MD 20815
(38.96349, -77.090192)",19600
DARNESTOWN SWIM & RACQUET,15004 SPRING MEADOWS DR,Germantown,20874,07/02/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MEMBER OWNED,Community,"15004 SPRING MEADOWS DR
Germantown, MD 20874
(39.101312, -77.307722)",19644
CIDER MILL,18301 LOST KNIFE CIR,GAITHERSBURG,20886,06/21/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GRADY MANAGEMENT,Apartments/Condos,"18301 LOST KNIFE CIR
GAITHERSBURG, MD 20886
(39.158111, -77.201861)",19618
ASPEN HILL,13531 GEORGIA AVE,SILVER SPRING,20906,07/02/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE DONALDSON GP,Apartments/Condos,"13531 GEORGIA AVE
SILVER SPRING, MD 20906
(39.07872, -77.072254)",19563
DARNESTOWN SWIM & RACQUET,15004 SPRING MEADOWS DR,Germantown,20874,05/06/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MEMBER OWNED,Community,"15004 SPRING MEADOWS DR
Germantown, MD 20874
(39.101312, -77.307722)",19644
AVENEL SWIM CLUB,10001 OAKLYN DR,POTOMAC,20854,05/09/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AVENEL COMMUNITY ASSOCIATION,Country Club,"10001 OAKLYN DR
POTOMAC, MD 20854
(38.996157, -77.197756)",19998
DARNESTOWN SWIM & RACQUET,15004 SPRING MEADOWS DR,Germantown,20874,07/10/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MEMBER OWNED,Community,"15004 SPRING MEADOWS DR
Germantown, MD 20874
(39.101312, -77.307722)",19644
LAKEWOOD COUNTRY CLUB,13901 GLEN MILL RD,ROCKVILLE,20850,07/02/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAKEWOOD COUNTRY CLUB,Country Club,"13901 GLEN MILL RD
ROCKVILLE, MD 20850
(39.08438, -77.197761)",19748
NEW MARK COMMONS,607 TEGNER WAY,Rockville,20850,06/28/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NEW MARK COMMONS HOA INC C/O ABARIS REALITY,Community,"607 TEGNER WAY
Rockville, MD 20850
(39.074325, -77.157445)",19788
CONGRESSIONAL COUNTRY CLUB,8500 RIVER RD,BETHESDA,20817,07/01/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"CONGRESSIONAL COUNTRY CLUB, INC",Country Club,"8500 RIVER RD
BETHESDA, MD 20817
(38.999234, -77.17405)",19632
DARNESTOWN SWIM & RACQUET,15004 SPRING MEADOWS DR,Germantown,20874,08/13/2018,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MEMBER OWNED,Community,"15004 SPRING MEADOWS DR
Germantown, MD 20874
(39.101312, -77.307722)",19644
BRETTON WOODS,15700 RIVER RD,GERMANTOWN,20874,07/02/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INTERNATIONAL MONETARY FUND,Community,"15700 RIVER RD
GERMANTOWN, MD 20874
(39.077899, -77.327158)",19586
AVENEL SWIM CLUB,10001 OAKLYN DR,POTOMAC,20854,06/21/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AVENEL COMMUNITY ASSOCIATION,Country Club,"10001 OAKLYN DR
POTOMAC, MD 20854
(38.996157, -77.197756)",19998
HUNT CLUB,404 CHRISTOPHER AVE,GAITHERSBURG,20879,07/02/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TENI ROXD,Apartments/Condos,"404 CHRISTOPHER AVE
GAITHERSBURG, MD 20879
(39.159442, -77.209156)",19724
WATKINS MILL TOWN CENTER,209 PARKVIEW AVE,GAITHERSBURG,20879,08/08/2019,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WATKINS MILL-TOWN CENTER,Community,"209 PARKVIEW AVE
GAITHERSBURG, MD 20879
(39.153936, -77.226622)",24088
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,04/29/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,05/02/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
FARMINGDALE,18211 CHALET DR,GERMANTOWN,20874,08/08/2019,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FARMINGDALE CONDO,Apartments/Condos,"18211 CHALET DR
GERMANTOWN, MD 20874
(39.156234, -77.274616)",19661
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,06/20/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
