Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,236159,04/27/2005,06/01/2007,09/06/2012,06/01/2009,"INSTALL SURFACE SAND FILTER S, PVC OUTFALL & STORM DRAIN PIPE & OUTFALL",,LSC,,232NW12,,"PIEDMONT RD & CLARKSBURG RD, PARCEL C, BLOCK D",,,,,,,,,,6500,0,0,Parcel C; Block D,
FLOODPLAIN DISTRICT PERMIT,367669,03/08/2019,,,,Single family embasy house,,,,,,,,,,,,,,,,1245,,0,,
FLOODPLAIN DISTRICT PERMIT,200568,09/22/1999,10/13/1999,,,GRADE/CONSTRUCT SWM/SC/SEWER SYSTEM IN 100YRFP-BRL,CONS,SCR,N/A,214 NW 2,JQ121,PARCEL 311 LOCATED BETWEEN UNIVERSITY BLVD AND BUCKNELL DR.,,,,,,,,,36 H1,8712,5662,98674,,
FLOODPLAIN DISTRICT PERMIT,266265,07/09/2010,12/07/2010,02/03/2016,12/07/2012,NEW COUNTY FACILITY,COMISC,URC,,222NW08,G7121,"CRABBS BRANCH WAY, SHADY GROVE ROAD, ROCKVILLE, MARYLAND",,,,,,,,,C9 & C10,40184,"14,900",0,,
FLOODPLAIN DISTRICT PERMIT,334648,04/14/2015,04/16/2015,,04/16/2017,Rehabilitation of the existing metal culvert under Germantown Road which is in poor condition.Re-lining method will be used.,,GSC,,D-10,"13,23","Rehabilitation of Culvert M-0308 Germantown Road/Germantown, MD",,,,,,,,,,18513,,0,,
FLOODPLAIN DISTRICT PERMIT,265076,03/25/2010,,,,CONSTRUCTION OF ONE ARTERIAL ROADWAY WITH A CULVERT CROSSING OVER MAIN STEM FLOODPLAIN OF LITTLE SENECA CREEK.,,LSC,,232NW12,,"NEWCUT ROAD - CLARKSBURG, MD 20871",,,,,,,,,"4928, J4-J5 & K4-K5","198,149","51,553",0,"NEWCUT ROAD - CLARKSBURG VILLAGE, PHASE 2, A-302 -",
FLOODPLAIN DISTRICT PERMIT,217356,06/06/2002,03/25/2003,,,SWM MAINTENANCE,,LPB,,218NE4,,NE QUADRANT OF INTERSECTION OF GATESHEAD MANOR DR & ASHTON MANOR DR AND SW QUADRANT OF INTERSECTION OF SHEFFIELD MANOR DR & SHEFFIELD MANOR TER,,,,,,,,,,47916,0,0,"Two ponds that need maintenance:
Knightsbridge,parcel D pond
Chase Ridge/Knightsbridge, part Parcel F pond",
FLOODPLAIN DISTRICT PERMIT,209180,11/29/2000,11/29/2000,,,"CONSTRUCT TWO END-OF-PIPE, WATER QUALITY WET PONDS & TWO STORM DRAIN OUTFALLS.",,GSC,,226NW12,,"19561 & 19570 AMARANTH DRIVE, GERMANTOWN, MD 20874",,,,,,,,,18G03,"12,700",0,0,,
FLOODPLAIN DISTRICT PERMIT,253302,06/13/2007,09/04/2007,03/30/2009,03/30/2011,STREAM STABILIZATION,CONS,PBR,RIGHT FORK,219 NE 03,KR 343,FAIRDALE ROAD,,,,,,,,,32B5,3050,0,0,,
FLOODPLAIN DISTRICT PERMIT,346446,09/23/2015,03/08/2016,03/20/2019,03/08/2018,Construction of a culvert under existing road,,LSC,CABIN BRCH,,,WEST OLD BALTIMORE ROAD,,,,,,,,,,24804,1175,0,,
FLOODPLAIN DISTRICT PERMIT,273276,03/06/2012,05/21/2012,,05/21/2014,RESURFACING MACARTHUR BLVD WITHIN THE PROJECT LIMITS AND PROVIDING A CONSISTANT BIKE PATH AND REHABILITATING A TROLLEY BRIDGE FORE PEDESTRIAN AND BIKE,CONS,,,407NW-208NW,,I-495 TO OBERLIN AVENUE,,,,,,,,,34 J AND K,0,,0,,
FLOODPLAIN DISTRICT PERMIT,240964,11/01/2005,12/08/2005,,12/08/2007,RESTORE A SMALL SECTION OF SHORELINE AT LAKE CHURCHILL WITH 3-4' DIAMETER BOULDERS & LIVE STAKES.,,LSC,,228NW13,EU343,"WYNNFIELD DRIVE, GERMANTOWN 20874",,,,,,,,,9C13,"3,464",0,0,"Parcels 800, Pt of A & B",
FLOODPLAIN DISTRICT PERMIT,261425,04/28/2009,12/15/2009,,12/15/2011,"MAINTENANCE - DREDGING; REMOVING ACCUMULATED SEDIMENT FROM POND, APPROXIMATELY 687 CUBIN YARDS.  NO CHANGE TO THE 100-YEAR FLOOD PLAIN.",,MBR,,220NW11,FS121,"14980TH DUFIEF DRIVE, GAITHERSBURG, MD  20878",,,,,,,,,"27, J4 & K4","~5,793 SF",0.0 SF,0,"Westleigh, Dufief Loacal Park Pond Dredging",
FLOODPLAIN DISTRICT PERMIT,231905,10/01/2004,03/11/2005,,03/11/2007,OUTFALL FOR SWM POND #6,,LSC,,23NW1,,"CLARKSBURG, LOTS/BLOCKS: 57-78/A; 1-19/E; 1-20/F; 1-34/G; 1-41/I; 1-27/K; 1-37/L; 1-31/M; 1-48, 58-61/P; 1-15/O; 1-22/Q; 1-21/S",,,,,,,,,,755,0,0,"Lots/Blocks: 57-78/A; 1-19/E; 1-20/F, 1-34/G; 1-41/I; 1-27/K; 1-37/L; 1-31/M; 1-48, 58-61/P; 1-15/O; 1-22/Q; 1-21/S",
FLOODPLAIN DISTRICT PERMIT,262903,09/02/2009,12/15/2009,09/28/2012,12/15/2011,"REPAIR DAM AT ASHTON POND PER MDE DAM SAFETY BY REPLACING PRINCIPAL SPILLWAY,INSTALLING FILTER DIAPHRAGM AND LINING EMERGENCY SPILLWAY.",,,220,224NE1,JT62,POND ROAD ASHTON 20861,,,,,,,,,"5051,B-6","19,345",0,0,,
FLOODPLAIN DISTRICT PERMIT,256571,02/05/2008,02/15/2008,,02/15/2010,REPLACE THE EXISTING PEDESTRIAN STEEL BRIDGE G12-05 AT WHEATON REGIONAL PK/ PINE LAKE WITH A NEW BRIDGE ABOVE THE 100-YR FLOOD LEVEL AT GLENALLAN AVE,CONS,NWB,PINE LAKE,216NW1,JQ343,"PEDESTRIAN BRIDGE AT WHEATON REGIONAL PARK, GLENALLAN AVENUE, WHEATON",,,,,,,,,31A10,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,306751,12/19/2013,12/20/2013,,12/20/2015,INSTALL ROCK WEIR AND ROUTINE EXCAVATION OF < 10 Cy OF SILT FROM SILT TRAP TO PERFORM MAINTENANCE ON A SILT TRAP LOCATED UPSTREAM FROM ASHTON POND.,,,,,,"ASHTON POND - NEAR POND ROAD, ASHTON, MD",,,,,,,,,,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,203561,03/07/2000,05/30/2000,12/31/2003,,CONSTRUCTION OF SWM & SEWER OUTFALLS.,,URC,MILL CR,224NW8,GT 122,WASHINGTON GROVE LANE,,,,,,,,,19K7,3571.92,0,0,,
FLOODPLAIN DISTRICT PERMIT,213121,08/06/2001,10/15/2001,04/23/2009,04/23/2011,"CONSTRUCT SD OUTFALL STRUCTURE #107A TO #106, INSTALL QL #2 & SURFACE SAND FILTER #3 THERE OUTFALLS",,WBR,,218NW & 10NW,,TRAVILLE VILLAGE CENTER- SHADY GROVE ROAD,,,,,,,,,"28, E-5",6245,0,0,Parcel P873,
FLOODPLAIN DISTRICT PERMIT,231411,08/31/2004,03/03/2005,,03/03/2008,INSTALL SWM POND OUTFALL PIP & RIPRAP CHANNEL,,LSC,UNNAMED,232NW12,,PIEDMONT RD & CLARKSBURG RD,,,,,,,,,,4450,0,0,,
FLOODPLAIN DISTRICT PERMIT,284555,11/29/2012,01/14/2013,,01/14/2015,Drill 2 soil borings west of existg bridge for design of replacemt structure during nonpeak hrs off the rd utilizg MCDOT temp traffic cntrl stndrds.,SOILBR,,,,,"Pennyfield Lock Road, Travilah, Maryland 20854",,,,,,,,,,100,,0,,
FLOODPLAIN DISTRICT PERMIT,205631,06/21/2000,04/05/2001,,,STREAM RESTORATION,,NWB,UNNAMED,213NW01,,"LOCKRIDGE DRIVE, SILVER SPRING",,,,,,,,,,43560,0,0,,
FLOODPLAIN DISTRICT PERMIT,262062,06/16/2009,09/25/2009,03/25/2013,09/25/2013,FOR ENTRANCE ROAD RECONSTRUCTION,,NWB,,218NW2,,13600 (BLOCK) LAYHILL RD SILVER SPRING MD 20906,,,,,,,,,,840,,0,,
FLOODPLAIN DISTRICT PERMIT,273530,03/22/2012,07/30/2012,11/30/2015,07/30/2014,"CONST. OF LITTLE SENECA PKWY FROM WINDING WOODS WAY TOWARDS FREDERICK RD INCLUDES INSTALL. OF BRIDGE CROSSING, GRADING FOR ABUTMENTS & UTILITY CONSTR.",,LSC,,,4928/J-4,"LITTLE SENECA PARKWAY, CLARKSBURG",,,,,,,,,,26590,0,0,,
FLOODPLAIN DISTRICT PERMIT,252232,03/20/2007,05/14/2007,06/26/2007,06/26/2009,"GRADING, INSTALLATION OF STORMDRAIN OUTFALL & CONNECTION OF PROP SEWER TO EX SEWER OUTFALL WITH DEVELOPMENT OF RIVER QUARRY SUBDIVISION",,CJC,THOMAS BR,210NW8,GN123,RIVER ROAD EAST OF INTERSECTION SEVEN LOCKS ROAD,,,,,,,,,35A-10,11335,0,0,"PARCEL:A, B,& C;  BLK/A",
FLOODPLAIN DISTRICT PERMIT,265999,06/17/2010,08/31/2010,,08/31/2012,"RENOVATION OF EXISTING BATHHOUSE AND FACILITY. IMPERVIOUS AREA WITHIN THE 100 YR. FP AND 25'BRL TO BE REDUCED FROM 14,300 SF TO 12,300 SF",CONS,LFB,,207NW04,HM33,FALSTONE AVE AND WARWICK PLACE,,,,,,,,,,"25,000","12,300",0,,
FLOODPLAIN DISTRICT PERMIT,241519,11/25/2005,01/20/2006,,01/20/2008,GRADING & STABILIZATION OF OUTFALL CHANNEL FOR POND #11,,LSC,,11NW232,FW121,"GREENWAY VILLAGE PHASE 5, CLARKSBURG",,,,,,,,,9H5,20908,0,0,AKA Pond #11,
FLOODPLAIN DISTRICT PERMIT,253704,07/03/2007,07/24/2007,,07/24/2009,EXTENSION AND WIDENING OF FATHER HURLEY BLVD INCLUDING CONSTRUCTION OF A BRIDGE OVER CSX RAILROAD AND TWO RETAINING WALLS. REFERENCE S/C #229822.,CONS,LSC,L.SENECA C,226-227NW13-14,EU341,FATHER HURLEY BLVD EXTENDED,,,,,,,,,18-C-2/3/4,,,0,,
FLOODPLAIN DISTRICT PERMIT,303426,10/22/2013,01/15/2016,,01/15/2018,"provide water quality & Chanel protection storage. Proposed 60""rcp to replace existing one. Add riser,resoration of approx. 1200 linear ft upstream",,PRD,,,FQ41,Korman Drive Potomac MD 20854,,,,,,,,,"5283, J-4",143682,0,0,,
FLOODPLAIN DISTRICT PERMIT,226624,02/11/2004,04/12/2004,,,CONSTRUCTION OF AN 8 FOOT WIDE HARD SURFACE TRAIL WITH BRIDGES & BOARDWALKS.,,LRC,,,,BETWEEN ROCK CREEK & GEORGIA AVE,,,,,,,,,,89775,37865,0,,
FLOODPLAIN DISTRICT PERMIT,355639,12/05/2016,12/21/2016,,12/21/2018,This stream restoration project is being implemented as part of an effort to reduce sedimentation to Lake Churchill.,,LSC,,228NW13,EU343,"Amethyst Stream Restoration/Nearest 21000 Father Hurley Boulevard/Germantown, MD 20874",,,,,,,,,4928 G10,63000,735,0,,
FLOODPLAIN DISTRICT PERMIT,209958,01/26/2001,02/08/2001,,,"CONSTRUCTION OF RETAINING WALLS, GRADING & EROSION, & SEDIMENT CONTROL (125 SQ FEET IN BUFFER AREA ONLY)",,LRC,,213NW5NW,HP122,NE CORNER OF TUCKERMAN LANE & ROCKVILLE PIKE,,,,,,,,,35;K-3,1306.8,1306.8,0,"Parcel 56- Dave, This application is incomplete you will need to contact engineer.",
FLOODPLAIN DISTRICT PERMIT,338311,06/05/2015,06/17/2015,,06/17/2017,Construction of stormwater outfall pipes as shown on the Retail SWM Plan Set  (Sediment Control #270595),,,,231NW14&231NW13,EV23,"Clarksburg Premium Outlets at Cabin Branvh/SW quadrant, intersection at Clarksburg Road & I 270",,,,,,,,,,"3,985",0,0,,
FLOODPLAIN DISTRICT PERMIT,231495,09/07/2004,11/13/2004,08/03/2009,08/03/2011,CONSTRUCT FOOTPATH & 2 TIMBER STREAM CROSSINGS,CONS,WBR,,218/219NW10,,"SHADY GROVE RD & TRAVILLE GATEWAY DR, PARCELS A & B/B",,,,,,,,,"28, D06",2925,850,0,,
FLOODPLAIN DISTRICT PERMIT,244166,03/14/2006,,,,650' STREAM RESTORATION AND STREAMBANK STABILIZATION,,,,,,,7303,,RIVER,,RD,BETHESDA,MD,20817,,74352,,0,,"7303 RIVER RD
BETHESDA, MD 20817
(38.989201, -77.149497)"
FLOODPLAIN DISTRICT PERMIT,276585,07/09/2012,05/10/2013,09/06/2016,05/10/2015,STREAM RESTORATION.,CONS,LRC,,210NW03,,"ADJACENT TO DONNYBROOK DRIVE, CHEVY CHASE, MD",,,,,,,,,F11A,73231,0,0,,
FLOODPLAIN DISTRICT PERMIT,232108,10/15/2004,12/15/2004,,12/16/2006,PROVIDE BIOLOGICAL HABITAL CONDITIONS & ENHANCE TERRESTRIAL HABITAT ON PARKLAND; TO REDUCE SEDIMENT & POLLUTANTS FROM BANK & CHANNEL.,,HWR,,225NW12,,"NORTH OF BRIGHTON DAM RD, BETWEEN BORDLY DR & NH AVE",,,,,,,,,,208038,0,0,"Parcels A, P353, Lot N85",
FLOODPLAIN DISTRICT PERMIT,260708,02/10/2009,03/03/2009,,03/03/2012,"EXTEND WOODFIELD ROAD FROM EXISTING END TO MD27 NEAR FAITH LANE.  INSTALL A 72"" RCCP AT STREAM CROSSING - FLOODPLAIN STUDY APPROVED.",,UPR,197,9NW238NW,,"DAMASCUS, MD",,,,,,,,,4-E-6,"17,300 SQUARE FEET","3,770 SQUARE FEET",0,Construction of roadway and culvert within 100-year floodplain,
FLOODPLAIN DISTRICT PERMIT,271021,08/23/2011,04/11/2013,04/01/2016,04/11/2015,"THE PURPOSE OF THE PROJECT IS TO UPGRADE THE RECREATIONAL FACILITIES, PROVIDE HANDICAP ACCESSIBILITY THROUGHOUT PARK ; CORRECT STORMWATER RUNOFF ISSUE",CONS,LRC,,212NW04,HP342,"KENSINGTON PARKWAY, LOT 1, BLOCK 15",,,,,,,,,,37390,12365,0,,
FLOODPLAIN DISTRICT PERMIT,204340,04/14/2000,07/03/2001,,,ROADWAY CONSTRUCTION,,NWB,,222NW1NE,,"NORECK ROAD EXTENDED, STATION 172+50",,,,,,,,,,37461.60,1306.80,0,,
FLOODPLAIN DISTRICT PERMIT,217936,07/11/2002,08/06/2002,,,ROAD CROSSING FOR ACCES FROM ONE PARCEL TO NEXT-STREAM IMPROVEMENTS-REPAIR HEAD CUT,,NWB,,224NW1NW,,"HIDDEN GARDEN LA SANDY SPRING, SOUTH OF RTE 108 & WYND CREST SUBDIVISION",,,,,,,,,22C8,3900,900,0,Lots 1-15/A,
FLOODPLAIN DISTRICT PERMIT,321568,08/26/2014,10/20/2016,,10/20/2019,Replacement of deteriorating existing roadway bridge to enhance safety of the traveling public and realignment of the existing Sligo Creek Trail.,CONS,SCR,,210NE01,JN 53,"PARK VALLEY ROAD AT SLIGO CREEK STREAM VALLEY PARK

SILVER SPRING, MD 20910",,,,,,,,,5408 J2,33172,7673,0,,
FLOODPLAIN DISTRICT PERMIT,246213,05/30/2006,09/21/2006,,09/21/2008,STREAM RESTORATION,,SCR,,212NW01,JP32,"9710 SLIGO CREEK PKWY, SILVER SPRING, MD 20901",,,,,,,,,,55321,800,0,Stream Restoration,
FLOODPLAIN DISTRICT PERMIT,254342,08/22/2007,11/07/2008,,11/07/2010,INSTALLATION OF EXTENSION PIPES FOR STORM DRAIN AND CONSTRUCTION OF A NEW OUTLET APRON IS PROPOSED. RIP RAP WILL BE PLACED ALONG OUTLET STRUCTURE AS N,,LRC,RC,210NW03,HN63,"ROCK CREEK SVU #1 SWM OUTFALL EXTENSION/MEADOWBROOK LANE/CHEVY CHASE, MD",,,,,,,,,36F10,7842,,0,ROCK CREEK SVU #1 SWM OUTFALL EXTENSION,
FLOODPLAIN DISTRICT PERMIT,244216,03/15/2006,,,,"RESTORE 1,750 LINEAR FEET OF DEGRADED STREAM & ENHANCE RIPARIAN CONDITIONS.",,NWB,UPPER SEC,221NW01,,"NORWOOD ROAD, SANDY SPRINGS; PARCELS P620 & E",,,,,,,,,,0,0,0,Parcel P620 & E (Stream restoration),
FLOODPLAIN DISTRICT PERMIT,201128,10/28/1999,11/18/1999,,,REPAIR/MAINTENANCE OF BRIDGE MPK-2C & SIDE SLOPE,CONS,LFB,WILLETT BR,208NW5,HN121,BRIDGE ON LITTLE FALLS BRANCH PARKWAY OVER WILLET BRANCH CREEK MPK-2C,,,,,,,,,40K1,435,435,65897,Repair & maintenace of bridge & side slope.,
FLOODPLAIN DISTRICT PERMIT,257077,03/20/2008,01/08/2009,,01/08/2011,THE WORK CONSISTS OF REPAIR TO A PREVIOUSLY COMPLETED STREAM RESTORATION PROJECT FOLLOWING DAMAGE CAUSED BY SEVERE STORMS IN JUNE/JULY 2006.,CONS,LRC,,,,"IVY GLEN ROAD/GARRETT PARK ROAD INTERSECTION, ROCKVILLE, MD",,,,,,,,,"MAP30,C13,D13",121585,0,0,,
FLOODPLAIN DISTRICT PERMIT,231814,09/27/2004,11/17/2004,,,CONSTRUCT OUTFALL FROM STORMWATER MANAGEMENT FACILITY,,GSC,GUNNERS BR,,,"WEST SIDE OF FREDERICK RD, 1320 FT NORTH OF INTERSECTION AT MIDDLEBROOK RD, PARCELS E & F",,,,,,,,,,40,0,0,parcels E & F,
FLOODPLAIN DISTRICT PERMIT,264590,02/05/2010,,,,RETROFIT OF EXISTING SWIM POND.INCLUDES GRADING OF POND AND REPLACING EXISTING RISER STRUCTURE WITH WEIR,,,,218NE02,KR12,JAQUELINE CT. SILVER SPRING MD. 20904,,,,,,,,,,660/1633,,0,,
FLOODPLAIN DISTRICT PERMIT,242199,12/27/2005,01/18/2006,01/07/2008,01/07/2010,CONSTRUCT TWO ELEVATED TIMBER FOOTPATH CROSSINGS,,WBR,,219NW10,FR342/FR343,SW QUADRANT INTERSECTION SHADY GORVE RD/WILLIOW TREE DR,,,,,,,,,28D5/6,4500,288,0,Parcel D & E; Block B,
FLOODPLAIN DISTRICT PERMIT,257916,05/22/2008,03/02/2016,03/02/2016,03/02/2018,SEWER OUTFALL; STREET; MASTER PLAN TRAIL; SWM FACILITIES O/F'S; MISC. GRADING.,CONS,BDR,,223/224NW20,CT121/122,"FISHER AVENUE & WEST WILLARD ROAD, TOWN OF POOLESVILLE, STONEY SPRINGS, SECTION II",,,,,,,,,5044/B-C8,124300,5250,0,"stoney springs, section II",
FLOODPLAIN DISTRICT PERMIT,252924,05/16/2007,05/25/2007,,05/25/2009,RECONSTRUCTION OF EXISTING DAMAGED CONCRETE WALL WITH A GEO-SYNTHETIC REINFORCED WERSA-LOK RETAINING WALL.  NEW WALL WILL BE OF THE SAME LENGTH/HEIGHT,CONS,URC,,221N-W06,GS53,"LAKE NEEDWOOD, NEEDWOOD LAKE CIRCLE, ROCKVILLE",,,,,,,,,20-F13,4546,,0,Replacement of existing retaining wall.,
FLOODPLAIN DISTRICT PERMIT,221576,05/12/2003,05/13/2003,,,RIPRAP OUTFALL CONSTRUCTION FOR QUANTITY CONTROL RETRO FIT OF EXISTING WET POND,,NWB,,223NW01,,"NORTHWOOD RD BETWEEN MD RT 108 & 182, PARCEL C",,,,,,,,,22A10,250,0,0,Parcel C,
FLOODPLAIN DISTRICT PERMIT,248147,08/16/2006,09/19/2006,,09/19/2008,INSTALL SIDEWALK & SHARED USE PATH ALONG QUINCE ORCHARD RD USING PERVIOUS PAVEMENT.,,MBR,,,,"FROM RT 28 TO SOUTH OF HORSE CENTER ROAD, 20878",,,,,,,,,,27200,6300,0,,
FLOODPLAIN DISTRICT PERMIT,224524,09/29/2003,12/17/2003,,12/17/2005,STORMDRAIN OUTFALL. SWM POND SIDESLOPE IN FLOOD PLAIN BUFFER. INCLUDES PUBLIC SEWER CONNECTION IN REVISION OF 3/15/04.,CONS,GSC,GUNNERS BR,228NW12,,"SOUTHWEST CORNER OF MD RT 118 & RT 355, PARCEL A",,,,,,,,,,7000,0,0,Revision approved 3/15/04,
FLOODPLAIN DISTRICT PERMIT,234892,03/09/2005,02/23/2006,,02/23/2008,"MAINTENANCE EXISTING SWM FACILITY TO PROVIDE BY SLIP LINING EXISTING TWIN 48"" CMP, REPLACE TWIN CMP RISER WITH CONCRETE RISER & RAISING DAM & FLUSH",,NWB,UNNAMED,219NW01,,"WOONSOCKET DRIVE, PARCEL A BLOCK A",,,,,,,,,,500,0,0,Parcel A Block A,
FLOODPLAIN DISTRICT PERMIT,222838,07/02/2003,07/03/2003,04/04/2007,04/04/2009,"CONSTRUCTION IN FLOODPLAIN, 10 INCH PVC OUTFALL.",CONS,URC,,221NW4,HS342,OLNEY,,,,,,,,,30;D-1,3800,150,0,,
FLOODPLAIN DISTRICT PERMIT,226462,02/03/2004,03/31/2004,12/10/2004,04/01/2006,FOR DEVELOPMENT - TO CONSTRUCT 2 SINGLE FAMILY DWELLINGS,,BDR,,225NW20,,"BEALLSVILLE RD, PARCEL 550",,,,,,,,,16A5,.38 ACRE,.068 ACRE,0,325 acres,
FLOODPLAIN DISTRICT PERMIT,237432,06/16/2005,01/09/2006,,01/09/2008,ROADWAY INTERSECTION IMPROVEMENTS & REPAIRS TO THE CRABBS BRANCH SWM POND DAM.,,URC,CRABBS BR,222NW07,,REDLAND RD (CRABBS BR WAY TO NEEDWOOD RD) 20855,,,,,,,,,20B12,21780,,0,,
FLOODPLAIN DISTRICT PERMIT,973111001,05/24/2001,05/25/2001,,,CONSTRUCTION FOR THE INSTALLATION OF A PROPOSED ARCH CULVERT #3 ACROSS TACKBROOKE DR,,URC,,225NW5,,"BARNSLEY MANOR ESTATES, CULVERT #3 ACROSS TACKBROOKE DRIVE",,,,,,,,,K5,27442,5227,0,PROJECT NAMES  : BARNSLEY MANOR ESTATES CULVERT #3                       SC# : 973070001                                                         SM FILE/COMMENTS : 1-87178,
FLOODPLAIN DISTRICT PERMIT,218170,07/25/2002,09/10/2002,,,"CONSTRUCT SEDIMENT CONTROL POND, SWM ACCESS ROAD,& PART OF PROPOSED SD SYSTEM W/SEWER LINE",,CJC,BOOZE CRK,210NW7,,"OAK PARK DR, PARCELS 291 & 293",,,,,,,,,35D9,18630,0,0,Parcels 291 & 293,
FLOODPLAIN DISTRICT PERMIT,320767,08/14/2014,04/14/2016,10/14/2016,04/14/2018,Replace four failing and eroded culverts at four (4) locations.,,GSC,,230NW11,FV22,"Wildcat Road Culvert Replacement/21521 Wildcat Road/Germantown, MD 20876",,,,,,,,,,"7,300","7,400",0,,
FLOODPLAIN DISTRICT PERMIT,234677,03/02/2005,04/11/2005,,04/11/2007,INSTALLATION OF SANITARY SEWER LINE,,GSC,GUNNERS BR,288 & 227NW11,,FREDERICK RD (RT 355) GERMANTOWN,,,,,,,,,,900,,0,parcels E & F,
FLOODPLAIN DISTRICT PERMIT,971291001,05/16/2001,05/16/2001,,,THE INSTALLATION OF WSSC SANITARY SEWER SYSTEM  IN CABIN JOHN REGIONAL PARK.,,CJC,CABIN BRCH,214NW07,GQ341,CABIN JOHN REGIONAL PARK,,,,,,,,,"35B2,C2",4356,4356,0,PROJECT NAMES  : CABIN JOHN REGIONAL PARK                                SC# :                                                                    SM FILE/COMMENTS : WSSC#96050052,
FLOODPLAIN DISTRICT PERMIT,247995,08/09/2006,08/10/2006,01/06/2009,01/06/2011,"CONSTRUCT NEW POND ENBANKMENT, WET POOL, VEGATATED SWALES & NEW 30 FT WIDE EMERGENCY SWALES",,CJC,,227NW09,,CHESLEY KNOLL DRIVE,,,,,,,,,14D9,103669,0,0,Block B; Parcel D (Pond) SC #971140006,
FLOODPLAIN DISTRICT PERMIT,205830,07/06/2000,06/03/2003,,,STREAM STABILIZATION & RESTORATION TO CONTROL EROSION & ENHANCE HABITAT,,NWB,UNNAMED,"218NW1, 281NE1",,1.3 MILES OF AN UN-NAMED TRIB TO NW BRANCH,,,,,,,,,31C7,239580,132858,0,,
FLOODPLAIN DISTRICT PERMIT,271424,09/23/2011,09/29/2011,,09/29/2013,"SEDIMENT CONTROL STORMWATER MANAGEMENT,AND ROADWAY & CULVERT CONSTRUCTION FOR RESIDENTIAL SUBDIVISION DEVELOPMENT",,,,239NW12,FV122,RIDGE ROAD CLARKSBURG 20876,,,,,,,,,429/B6,"107,060","35,185",0,,
FLOODPLAIN DISTRICT PERMIT,298124,07/30/2013,04/23/2014,03/11/2016,04/23/2016,"PROJECT IS A STREAM RESTORE AND BANK STABILIZATION INCLUDES REHAB  BLOCKED & FAILED CULVERTS, REPAIR BANK EROSION & REPLACE STREAM DIVERSION STRUCTURE",,,,217NE02,KR121,"1620 EAST RANDOLPH RD

COLESVILLE, MD 20904",,,,,,,,,,"60,797",0,0,,
FLOODPLAIN DISTRICT PERMIT,249251,10/06/2006,12/15/2006,,12/15/2008,CONSTRUCT 8' PERVIOUS ASPHALT PATH & PEDESTRIAN BRIDGE CROSSING OVER STREAM,,LSC,,,,"CLARKSBURG, BLOCK Q; PARCELS H & K",,,,,,,,,,7650,,0,Parcels  H & K; Block Q,
FLOODPLAIN DISTRICT PERMIT,221471,05/07/2003,08/22/2003,,08/22/2005,"CONSTRUCT SWM OUTFULL PIPE & RIPRAP, ESTABLISH & MAINTAIN SWM EASEMENT",,LSC,MAIN STEM,232NW12,,SKYLARK RD BETWEEN PIEDMONT RD & MD RT 27,,,,,,,,,9G4&5,5200,0,0,,
FLOODPLAIN DISTRICT PERMIT,258489,07/10/2008,07/08/2010,,07/08/2012,RENOVATE RISER/BARREL,,LPB,,218NE04,,INTERSECTION OF ASTON MANOR DRIVE & GATESHEAD MANOR DRIVE,,,,,,,,,5167 (K8),9000,0,0,,
FLOODPLAIN DISTRICT PERMIT,216410,04/04/2002,04/01/2004,,04/02/2006,STREAM STABILIZATION & HABITAT CREATION,,LRC,,,,"8101 CONNECTICUT AVE TO JONES MILL RD REAR FARMINGTON RD, ROW, 00419784",,,,,,,,,,104544,0,0,Coquelin Run Stream Restoration,
FLOODPLAIN DISTRICT PERMIT,317066,06/18/2014,06/23/2014,08/18/2015,06/23/2016,REMOVAL OF EXISTING CROSSING & MINOR GRADING IN THE FLOODPLAIN FOR A WETLAND MITIGATION PLAN,,LPB,,,,"SADDLE CREEK DRIVE, BURTONSVILLE, MD",,,,,,,,,,"15,407",,0,,
FLOODPLAIN DISTRICT PERMIT,266614,08/12/2010,,,,CONSTRUCTION OF A CULVERT CROSSING AT LITTLE SENECA PARKWAY STATION 57+75,,LSC,,12NW232/13NW232,EW41/EW51,"LITTLE SENECA PARKWAY, CLARKSBURG, MD",,,,,,,,,"9/E4, F4","44,010 SF","6,308 SF",0,,
FLOODPLAIN DISTRICT PERMIT,214958,12/19/2001,,,,STREAM RESTORATION WITH FOCUS ON STREAMBANK STABILIZATION & HABITAT IMPROVEMENTS,,LFB,,207 & 206NW05,,"LITTLE FALLS 2 LOWER MAINSTREAM SVI, WEST OF TOURNAY RD, NORTH OF MACARTHUR BLVD & DALE CARLIA RESIDENCE",,,,,,,,,,155509,,0,,
FLOODPLAIN DISTRICT PERMIT,275365,06/12/2012,06/20/2012,,06/20/2014,Renovation of an existing MNCPPC Park and Playground.,CONS,URC,,223NW07,GT341,"17401 Shady Grove Road, Gaithersburg",,,,,,,,,,1396,0,0,,
