Program Administrator,Program Name,Fuel Type,Sector,Net Fuel Savings Acquired,Fuel Savings Unit,Cumulative Net Energy Savings Acquired as of Date
Central Hudson Gas & Electric Corporation,* Residential HVAC Program,Electric,Residential,125.68,MWh,12/31/2015
New York State Energy Research and Development Authority,* Flex Tech Program,Electric,Commercial,2278.28,MWh,12/31/2015
New York State Energy Research and Development Authority,* Existing Facilities Program,Electric,Commercial,7.15,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,MWh,12/31/2015
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,MWh,12/31/2015
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,88181.34,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.20,MWh,12/31/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,59935.68,MWh,12/31/2015
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Electric,Multi-Family,755.36,MWh,12/31/2015
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1547.40,MWh,12/31/2015
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,503587.37,Dth,12/31/2015
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,7900.16,Dth,12/31/2015
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,2842.39,Dth,12/31/2015
Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,731647.73,Dth,12/31/2015
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,11560.59,Dth,12/31/2015
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,416376.22,Dth,12/31/2015
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,659526.99,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,59347.53,Dth,12/31/2015
New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,1388.71,MWh,12/31/2015
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,33500.44,MWh,12/31/2015
New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,135926.42,MWh,12/31/2015
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Electric,Residential,287.22,MWh,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential Energy Star Products Program,Gas,Residential,1591.13,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,498200.31,MWh,12/31/2015
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,35742.27,MWh,12/31/2015
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,-1042.39,MWh,12/31/2015
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,181091.55,MWh,12/31/2015
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,MWh,12/31/2015
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,2167201.78,Dth,12/31/2015
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,101509.75,Dth,12/31/2015
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.33,MWh,12/31/2015
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,31344.51,MWh,12/31/2015
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,115494.54,MWh,12/31/2015
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,11400.48,Dth,12/31/2015
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,57813.03,Dth,12/31/2015
New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,16178.08,MWh,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,343138.09,Dth,12/31/2015
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,MWh,06/30/2017
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4909.61,MWh,06/30/2017
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,3012.45,MWh,06/30/2017
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,7900.16,Dth,06/30/2017
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1550.95,MWh,06/30/2017
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,241754.48,Dth,06/30/2017
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,90577.44,MWh,06/30/2017
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,06/30/2017
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,41958.23,MWh,06/30/2017
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,518371.14,Dth,06/30/2017
New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,2358.46,MWh,06/30/2017
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.90,MWh,06/30/2017
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41974.93,MWh,06/30/2017
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,06/30/2017
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Gas,Residential,1039.13,Dth,06/30/2017
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Electric,Multi-Family,779.99,MWh,06/30/2017
New York State Energy Research and Development Authority,EmPower New York,Gas,Residential,727420.09,Dth,06/30/2017
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,MWh,06/30/2017
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,60555.66,Dth,06/30/2017
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.10,MWh,06/30/2017
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,500903.82,Dth,06/30/2017
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,MWh,06/30/2017
KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,343138.09,Dth,06/30/2017
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,757306.04,MWh,06/30/2017
"Consolidated Edison Company of New York, Inc.",* Multifamily Energy Efficiency Program,Gas,Multi-Family,-37475.33,Dth,06/30/2017
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,MWh,06/30/2017
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,59347.53,Dth,06/30/2017
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,06/30/2017
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,MWh,06/30/2017
"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,39450.54,MWh,06/30/2017
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Electric,Residential,1116.70,MWh,06/30/2017
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,-1158.21,MWh,06/30/2017
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multi-Family,0.00,MWh,06/30/2017
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,476558.19,Dth,06/30/2017
"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,327655.33,Dth,06/30/2017
New York State Electric & Gas Corporation,* Residential HVAC Program,Electric,Residential,5447.66,MWh,06/30/2017
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,76672.00,Dth,06/30/2017
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,10131.90,Dth,06/30/2017
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,25206.60,Dth,06/30/2017
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,455021.00,Dth,06/30/2017
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,191926.90,Dth,06/30/2017
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,519912.83,Dth,06/30/2017
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,06/30/2017
Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,146036.36,Dth,06/30/2017
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,06/30/2017
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,1398.30,Dth,06/30/2017
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,MWh,06/30/2017
New York State Energy Research and Development Authority,* Flex Tech Program,Electric,Commercial,3339.35,MWh,06/30/2017
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,06/30/2017
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,06/30/2017
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,2693363.61,Dth,06/30/2017
New York State Energy Research and Development Authority,* Existing Facilities Program,Gas,Commercial,2438.98,Dth,06/30/2017
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,34992.18,Dth,06/30/2017
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,505471.77,Dth,06/30/2017
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,16531.16,MWh,06/30/2017
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,839476.92,Dth,06/30/2017
New York State Energy Research and Development Authority,* New Construction Program,Gas,Commercial,439485.86,Dth,06/30/2017
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,MWh,06/30/2017
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,56619.53,MWh,06/30/2017
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,MWh,06/30/2017
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential Energy Star Products Program,Gas,Residential,1591.13,Dth,06/30/2017
National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,143952.42,Dth,06/30/2017
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,1031146.34,Dth,06/30/2017
"Consolidated Edison Company of New York, Inc.",* C&I Custom Efficiency Program,Gas,Commercial,-93180.68,Dth,06/30/2017
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,MWh,06/30/2017
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,3498.10,Dth,06/30/2017
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,23859.30,Dth,06/30/2017
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,91177.60,Dth,06/30/2017
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-22769.48,Dth,06/30/2017
New York State Energy Research and Development Authority,* Multifamily Performance Program,Gas,Multi-Family,15931.18,Dth,06/30/2017
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,06/30/2017
New York State Energy Research and Development Authority,* EmPower New York,Electric,Residential,260.74,MWh,06/30/2017
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,397004.99,MWh,06/30/2017
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,61883.46,MWh,06/30/2017
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,74836.28,MWh,06/30/2017
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Electric,Commercial,0.00,MWh,06/30/2017
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,MWh,06/30/2017
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,124578.13,Dth,06/30/2017
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,MWh,06/30/2017
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,60341.92,MWh,06/30/2017
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,MWh,06/30/2017
The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,234933.86,Dth,06/30/2017
