Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
IDAHO,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2019,16,,-,2,,,-,,-,,-,2,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2019,16,,-,6,,6,,2,,,-,4,,12,,8,,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2019,16,,-,4,,3,,3,,,-,3,,4,,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2019,16,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2019,16,,-,2,,,-,,-,,-,3,,,-,2,,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2019,16,,-,3,,,-,1,,,-,2,,6,,2,,"WISCONSIN
(44.395526, -89.834513)",
FLORIDA,2019,16,,-,17,,,-,39,,,-,5,,,-,9,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2019,16,,-,6,,3,,2,,,-,4,,3,,6,,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2019,16,,-,2,,,-,2,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2019,16,,-,6,,1,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2019,16,1,,3,,1,,2,,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2019,16,,-,5,,4,,2,,2,,5,,10,,3,,"OHIO
(40.056807, -82.405897)",
COLORADO,2019,16,,-,6,,2,,4,,,-,3,,9,,12,,"COLORADO
(38.841772, -106.132562)",
IOWA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW YORK,2019,16,1,,7,,2,,2,,1,,4,,14,,4,,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2019,16,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OREGON,2019,16,,-,8,,1,,2,,,-,3,,1,,1,,"OREGON
(44.567912, -120.156945)",
ALABAMA,2019,16,,-,3,,2,,1,,,-,2,,4,,2,,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UTAH,2019,16,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
ARIZONA,2019,16,1,,3,,1,,1,,,-,2,,9,,6,,"ARIZONA
(34.869712, -111.760902)",
WYOMING,2019,16,,-,0,,,-,,-,,-,1,,1,,2,,"WYOMING
(43.23558, -108.110518)",
TEXAS,2019,16,,-,7,,3,,11,,,-,11,,18,,35,,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2019,16,,-,2,,3,,3,,,-,3,,5,,7,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2019,16,,-,5,,1,,4,,,-,5,,7,,2,,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2019,16,,-,3,,1,,1,,,-,2,,2,,6,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2019,16,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
U.S. VIRGIN ISLANDS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PENNSYLVANIA,2019,16,,-,4,,1,,3,,,-,2,,5,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2019,16,,-,8,,4,,1,,,-,2,,1,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2019,17,,-,3,,1,,2,,,-,2,,,-,,-,"ALASKA
(63.631126, -151.631889)",
AMERICAN SAMOA,2019,17,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
OREGON,2019,17,,-,8,,1,,2,,,-,3,,1,,1,,"OREGON
(43.940449, -120.605279)",
UTAH,2019,17,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.323779, -111.678222)",
VERMONT,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",
NEW JERSEY,2019,17,,-,5,,1,,4,,,-,5,,7,,2,,"NEW JERSEY
(40.110253, -74.655514)",
LOUISIANA,2019,17,,-,4,,2,,10,,,-,6,,2,,12,,"LOUISIANA
(30.921314, -91.840238)",
NEBRASKA,2019,17,,-,1,,1,,1,,,-,4,,1,,,-,"NEBRASKA
(41.527099, -99.810595)",
MARYLAND,2019,17,1,,5,,5,,5,,,-,4,,6,,7,,"MARYLAND
(38.946466, -76.687282)",
MINNESOTA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",
SOUTH ATLANTIC,2019,17,3,,19,,53,,68,,1,,8,,45,,39,,,SOUTH ATLANTIC
OHIO,2019,17,,-,5,,4,,2,,,-,5,,10,,4,,"OHIO
(40.415534, -82.70936)",
MOUNTAIN,2019,17,,-,11,,3,,6,,1,,4,,23,,26,,,MOUNTAIN
INDIANA,2019,17,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.919991, -86.2818)",
NEW YORK,2019,17,,-,7,,2,,2,,1,,4,,15,,5,,"NEW YORK
(42.921241, -75.59655)",
NORTH CAROLINA,2019,17,,-,4,,3,,4,,,-,3,,4,,7,,"NORTH CAROLINA
(35.52603, -79.130883)",
ARIZONA,2019,17,,-,3,,1,,1,,1,,2,,11,,6,,"ARIZONA
(34.293239, -111.664616)",
NEVADA,2019,17,,-,1,,,-,,-,,-,1,,1,,,-,"NEVADA
(39.283294, -114.916992)",
RHODE ISLAND,2019,17,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",
US RESIDENTS,2019,17,5,,115,,129,,181,,3,,46,,211,,213,,,US RESIDENTS
IDAHO,2019,17,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",
WEST VIRGINIA,2019,17,,-,2,,,-,,-,,-,2,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",
ALABAMA,2019,17,1,,3,,3,,1,,,-,3,,6,,3,,"ALABAMA
(32.756889, -86.844516)",
TENNESSEE,2019,17,,-,2,,2,,2,,,-,3,,5,,4,,"TENNESSEE
(35.842998, -86.343226)",
MONTANA,2019,17,,-,2,,,-,,-,,-,3,,,-,2,,"MONTANA
(47.033521, -109.645127)",
OKLAHOMA,2019,17,,-,3,,1,,2,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",
MISSOURI,2019,17,,-,2,,3,,3,,,-,3,,5,,8,,"MISSOURI
(38.3675, -92.477244)",
FLORIDA,2019,17,2,,17,,29,,42,,1,,5,,26,,9,,"FLORIDA
(28.260731, -82.420978)",
CONNECTICUT,2019,17,,-,6,,2,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.575155, -72.738288)",
EAST NORTH CENTRAL,2019,17,,-,11,,13,,10,,,-,7,,34,,21,,,EAST NORTH CENTRAL
MIDDLE ATLANTIC,2019,17,,-,13,,7,,12,,1,,8,,36,,11,,,MIDDLE ATLANTIC
MASSACHUSETTS,2019,17,1,,8,,5,,2,,,-,2,,2,,1,,"MASSACHUSETTS
(42.151077, -71.481104)",
TEXAS,2019,17,,-,7,,3,,11,,,-,11,,18,,37,,"TEXAS
(31.447238, -99.317341)",
U.S. VIRGIN ISLANDS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2019,17,,-,3,,,-,1,,,-,2,,8,,3,,"WISCONSIN
(44.639954, -89.732969)",
ARKANSAS,2019,17,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",
SOUTH DAKOTA,2019,17,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.43614, -100.230491)",
EAST SOUTH CENTRAL,2019,17,1,,5,,5,,5,,,-,6,,11,,18,,,EAST SOUTH CENTRAL
WEST NORTH CENTRAL,2019,17,,-,5,,5,,7,,,-,4,,9,,15,,,WEST NORTH CENTRAL
CALIFORNIA,2019,17,,-,29,,12,,31,,,-,8,,11,,23,,"CALIFORNIA
(37.211164, -119.662127)",
PACIFIC,2019,17,,-,49,,29,,41,,,-,15,,25,,31,,,PACIFIC
NEW HAMPSHIRE,2019,17,,-,2,,,-,2,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",
TOTAL,2019,17,5,,115,,129,,181,,3,,46,,211,,213,,,TOTAL
COLORADO,2019,17,,-,6,,2,,4,,,-,3,,9,,12,,"COLORADO
(38.998552, -105.547832)",
GUAM,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MICHIGAN,2019,17,,-,4,,3,,4,,,-,2,,4,,3,,"MICHIGAN
(44.874798, -85.730977)",
KENTUCKY,2019,17,,-,1,,,-,,-,,-,4,,,-,9,,"KENTUCKY
(37.526683, -85.290484)",
PUERTO RICO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2019,17,,-,2,,,-,2,,,-,1,,,-,2,,"MISSISSIPPI
(32.713378, -89.65344)",
PENNSYLVANIA,2019,17,,-,4,,1,,3,,,-,2,,5,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",
NORTHERN MARIANA ISLANDS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH CAROLINA,2019,17,,-,3,,7,,3,,,-,2,,4,,7,,"SOUTH CAROLINA
(33.878572, -80.864614)",
US TERRITORIES,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW MEXICO,2019,17,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.421369, -106.108388)",
VIRGINIA,2019,17,,-,6,,4,,2,,,-,4,,3,,6,,"VIRGINIA
(37.510861, -78.666382)",
KANSAS,2019,17,,-,3,,1,,1,,,-,2,,3,,6,,"KANSAS
(38.484729, -98.38018)",
NEW YORK CITY,2019,17,,-,5,,3,,3,,,-,3,,9,,2,,,NEW YORK CITY
HAWAII,2019,17,,-,3,,7,,5,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",
WASHINGTON,2019,17,,-,22,,8,,1,,,-,7,,13,,6,,"WASHINGTON
(47.411715, -120.592492)",
IOWA,2019,17,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",
WYOMING,2019,17,,-,0,,,-,,-,,-,1,,1,,2,,"WYOMING
(42.999627, -107.55145)",
MAINE,2019,17,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",
DELAWARE,2019,17,,-,2,,,-,1,,,-,1,,2,,,-,"DELAWARE
(38.994926, -75.452394)",
DISTRICT OF COLUMBIA,2019,17,,-,1,,,-,2,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",
ILLINOIS,2019,17,,-,6,,6,,2,,,-,4,,12,,9,,"ILLINOIS
(40.124144, -89.148632)",
NORTH DAKOTA,2019,17,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",
WEST SOUTH CENTRAL,2019,17,,-,9,,6,,23,,,-,15,,20,,49,,,WEST SOUTH CENTRAL
NEW ENGLAND,2019,17,1,,15,,8,,9,,,-,4,,8,,3,,,NEW ENGLAND
KANSAS,2019,18,,-,3,,1,,1,,,-,2,,3,,6,,"KANSAS
(38.484729, -98.38018)",
MIDDLE ATLANTIC,2019,18,,-,13,,7,,14,,,-,8,,37,,14,,,MIDDLE ATLANTIC
NEVADA,2019,18,,-,1,,,-,,-,,-,1,,1,,,-,"NEVADA
(39.283294, -114.916992)",
EAST NORTH CENTRAL,2019,18,,-,11,,13,,11,,,-,7,,36,,24,,,EAST NORTH CENTRAL
ALASKA,2019,18,,-,3,,1,,2,,,-,2,,,-,,-,"ALASKA
(63.631126, -151.631889)",
US TERRITORIES,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
WEST VIRGINIA,2019,18,,-,2,,,-,,-,,-,2,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",
MOUNTAIN,2019,18,,-,11,,3,,7,,1,,4,,24,,26,,,MOUNTAIN
VERMONT,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",
MISSISSIPPI,2019,18,,-,2,,,-,2,,,-,1,,,-,3,,"MISSISSIPPI
(32.713378, -89.65344)",
NORTH DAKOTA,2019,18,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",
MINNESOTA,2019,18,,-,6,,,-,7,,,-,4,,,-,10,,"MINNESOTA
(46.349153, -94.198308)",
PENNSYLVANIA,2019,18,,-,4,,1,,4,,,-,2,,5,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",
SOUTH ATLANTIC,2019,18,,-,18,,48,,62,,1,,8,,47,,40,,,SOUTH ATLANTIC
NORTHERN MARIANA ISLANDS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2019,18,,-,2,,,-,2,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",
MISSOURI,2019,18,,-,2,,3,,3,,,-,3,,5,,8,,"MISSOURI
(38.3675, -92.477244)",
SOUTH CAROLINA,2019,18,,-,3,,7,,3,,1,,2,,5,,7,,"SOUTH CAROLINA
(33.878572, -80.864614)",
WYOMING,2019,18,,-,0,,,-,,-,,-,1,,1,,2,,"WYOMING
(42.999627, -107.55145)",
PUERTO RICO,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WEST SOUTH CENTRAL,2019,18,,-,9,,6,,23,,,-,15,,20,,51,,,WEST SOUTH CENTRAL
OREGON,2019,18,,-,8,,1,,2,,,-,3,,1,,1,,"OREGON
(43.940449, -120.605279)",
NORTH CAROLINA,2019,18,,-,4,,3,,5,,,-,3,,4,,7,,"NORTH CAROLINA
(35.52603, -79.130883)",
HAWAII,2019,18,,-,3,,7,,5,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",
ARIZONA,2019,18,,-,3,,1,,1,,1,,2,,12,,6,,"ARIZONA
(34.293239, -111.664616)",
DISTRICT OF COLUMBIA,2019,18,,-,1,,,-,2,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",
OKLAHOMA,2019,18,,-,3,,1,,2,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",
MICHIGAN,2019,18,,-,4,,3,,4,,,-,2,,4,,3,,"MICHIGAN
(44.874798, -85.730977)",
NEW MEXICO,2019,18,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.421369, -106.108388)",
NEW ENGLAND,2019,18,,-,15,,9,,9,,1,,4,,9,,3,,,NEW ENGLAND
MONTANA,2019,18,,-,2,,,-,,-,,-,3,,,-,2,,"MONTANA
(47.033521, -109.645127)",
MASSACHUSETTS,2019,18,,-,8,,6,,2,,1,,2,,3,,1,,"MASSACHUSETTS
(42.151077, -71.481104)",
UTAH,2019,18,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.323779, -111.678222)",
ARKANSAS,2019,18,,-,3,,,-,,-,,-,1,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",
WASHINGTON,2019,18,,-,22,,8,,1,,,-,7,,13,,7,,"WASHINGTON
(47.411715, -120.592492)",
ALABAMA,2019,18,1,,3,,4,,3,,,-,4,,8,,3,,"ALABAMA
(32.756889, -86.844516)",
AMERICAN SAMOA,2019,18,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
GEORGIA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",
GUAM,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST NORTH CENTRAL,2019,18,,-,6,,5,,14,,1,,6,,11,,25,,,WEST NORTH CENTRAL
LOUISIANA,2019,18,,-,4,,2,,10,,,-,6,,2,,12,,"LOUISIANA
(30.921314, -91.840238)",
PACIFIC,2019,18,,-,49,,31,,41,,,-,15,,25,,36,,,PACIFIC
FLORIDA,2019,18,,-,17,,29,,44,,,-,5,,26,,10,,"FLORIDA
(28.260731, -82.420978)",
SOUTH DAKOTA,2019,18,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.43614, -100.230491)",
COLORADO,2019,18,,-,6,,2,,5,,,-,3,,9,,12,,"COLORADO
(38.998552, -105.547832)",
MAINE,2019,18,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",
EAST SOUTH CENTRAL,2019,18,1,,5,,6,,7,,,-,6,,15,,19,,,EAST SOUTH CENTRAL
US RESIDENTS,2019,18,1,,119,,128,,188,,4,,46,,224,,238,,,US RESIDENTS
U.S. VIRGIN ISLANDS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW JERSEY,2019,18,,-,5,,1,,4,,,-,5,,8,,3,,"NEW JERSEY
(40.110253, -74.655514)",
ILLINOIS,2019,18,,-,6,,6,,3,,,-,4,,12,,10,,"ILLINOIS
(40.124144, -89.148632)",
OHIO,2019,18,,-,5,,4,,2,,,-,5,,10,,4,,"OHIO
(40.415534, -82.70936)",
TENNESSEE,2019,18,,-,2,,2,,2,,,-,3,,6,,4,,"TENNESSEE
(35.842998, -86.343226)",
CALIFORNIA,2019,18,,-,29,,14,,31,,,-,8,,11,,27,,"CALIFORNIA
(37.211164, -119.662127)",
TEXAS,2019,18,,-,7,,3,,11,,,-,11,,18,,38,,"TEXAS
(31.447238, -99.317341)",
VIRGINIA,2019,18,,-,6,,4,,2,,,-,4,,3,,6,,"VIRGINIA
(37.510861, -78.666382)",
CONNECTICUT,2019,18,,-,6,,2,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.575155, -72.738288)",
DELAWARE,2019,18,,-,2,,,-,1,,,-,1,,2,,,-,"DELAWARE
(38.994926, -75.452394)",
IDAHO,2019,18,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",
IOWA,2019,18,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",
INDIANA,2019,18,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.919991, -86.2818)",
NON-US RESIDENTS,2019,18,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEW YORK CITY,2019,18,,-,5,,3,,4,,,-,3,,9,,3,,,NEW YORK CITY
NEBRASKA,2019,18,,-,1,,1,,1,,1,,4,,3,,,-,"NEBRASKA
(41.527099, -99.810595)",
KENTUCKY,2019,18,,-,1,,,-,,-,,-,4,,1,,9,,"KENTUCKY
(37.526683, -85.290484)",
WISCONSIN,2019,18,,-,3,,,-,1,,,-,2,,10,,5,,"WISCONSIN
(44.639954, -89.732969)",
TOTAL,2019,18,1,,119,,128,,188,,4,,46,,224,,238,,,TOTAL
NEW YORK,2019,18,,-,7,,2,,2,,,-,4,,15,,6,,"NEW YORK
(42.921241, -75.59655)",
RHODE ISLAND,2019,18,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",
MARYLAND,2019,18,,-,5,,5,,5,,,-,4,,7,,7,,"MARYLAND
(38.946466, -76.687282)",
UTAH,2019,19,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.323779, -111.678222)",
MARYLAND,2019,19,,-,5,,5,,6,,,-,4,,7,,7,,"MARYLAND
(38.946466, -76.687282)",
COLORADO,2019,19,,-,6,,3,,5,,1,,3,,10,,13,,"COLORADO
(38.998552, -105.547832)",
DISTRICT OF COLUMBIA,2019,19,,-,1,,,-,2,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",
MINNESOTA,2019,19,,-,6,,,-,7,,,-,4,,,-,10,,"MINNESOTA
(46.349153, -94.198308)",
CONNECTICUT,2019,19,,-,6,,2,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.575155, -72.738288)",
PUERTO RICO,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH CAROLINA,2019,19,,-,4,,3,,7,,,-,3,,4,,7,,"NORTH CAROLINA
(35.52603, -79.130883)",
EAST NORTH CENTRAL,2019,19,1,,11,,17,,12,,,-,7,,38,,25,,,EAST NORTH CENTRAL
NEW JERSEY,2019,19,,-,5,,1,,5,,,-,5,,8,,3,,"NEW JERSEY
(40.110253, -74.655514)",
CALIFORNIA,2019,19,,-,29,,15,,33,,,-,8,,11,,28,,"CALIFORNIA
(37.211164, -119.662127)",
SOUTH CAROLINA,2019,19,,-,3,,7,,3,,,-,2,,5,,8,,"SOUTH CAROLINA
(33.878572, -80.864614)",
US RESIDENTS,2019,19,2,,119,,139,,202,,5,,46,,234,,246,,,US RESIDENTS
IDAHO,2019,19,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",
U.S. VIRGIN ISLANDS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTHERN MARIANA ISLANDS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2019,19,,-,1,,1,,,-,1,,4,,2,,10,,"KENTUCKY
(37.526683, -85.290484)",
WISCONSIN,2019,19,,-,3,,1,,2,,,-,2,,11,,5,,"WISCONSIN
(44.639954, -89.732969)",
TENNESSEE,2019,19,,-,2,,2,,2,,,-,3,,8,,5,,"TENNESSEE
(35.842998, -86.343226)",
SOUTH ATLANTIC,2019,19,,-,18,,48,,65,,,-,8,,47,,43,,,SOUTH ATLANTIC
IOWA,2019,19,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",
WEST NORTH CENTRAL,2019,19,1,,6,,6,,15,,,-,6,,11,,25,,,WEST NORTH CENTRAL
MISSISSIPPI,2019,19,,-,2,,,-,2,,,-,1,,,-,3,,"MISSISSIPPI
(32.713378, -89.65344)",
KANSAS,2019,19,,-,3,,1,,1,,,-,2,,3,,6,,"KANSAS
(38.484729, -98.38018)",
TEXAS,2019,19,,-,7,,3,,12,,,-,11,,18,,38,,"TEXAS
(31.447238, -99.317341)",
VIRGINIA,2019,19,,-,6,,4,,2,,,-,4,,3,,6,,"VIRGINIA
(37.510861, -78.666382)",
WYOMING,2019,19,,-,0,,,-,,-,,-,1,,1,,2,,"WYOMING
(42.999627, -107.55145)",
OHIO,2019,19,1,,5,,5,,2,,,-,5,,10,,4,,"OHIO
(40.415534, -82.70936)",
NEW YORK,2019,19,,-,7,,2,,2,,,-,4,,15,,6,,"NEW YORK
(42.921241, -75.59655)",
MONTANA,2019,19,,-,2,,,-,,-,,-,3,,,-,2,,"MONTANA
(47.033521, -109.645127)",
NON-US RESIDENTS,2019,19,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEBRASKA,2019,19,,-,1,,1,,1,,,-,4,,3,,,-,"NEBRASKA
(41.527099, -99.810595)",
FLORIDA,2019,19,,-,17,,29,,44,,,-,5,,26,,12,,"FLORIDA
(28.260731, -82.420978)",
WEST VIRGINIA,2019,19,,-,2,,,-,,-,,-,2,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",
GEORGIA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",
NEW MEXICO,2019,19,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.421369, -106.108388)",
AMERICAN SAMOA,2019,19,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
PENNSYLVANIA,2019,19,,-,4,,1,,5,,1,,2,,6,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",
NEW YORK CITY,2019,19,,-,5,,3,,4,,,-,3,,9,,3,,,NEW YORK CITY
ILLINOIS,2019,19,,-,6,,7,,3,,,-,4,,13,,10,,"ILLINOIS
(40.124144, -89.148632)",
US TERRITORIES,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
ARIZONA,2019,19,,-,3,,1,,2,,,-,2,,12,,6,,"ARIZONA
(34.293239, -111.664616)",
SOUTH DAKOTA,2019,19,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.43614, -100.230491)",
ARKANSAS,2019,19,,-,3,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",
WASHINGTON,2019,19,,-,22,,10,,1,,,-,7,,13,,7,,"WASHINGTON
(47.411715, -120.592492)",
NEVADA,2019,19,,-,1,,,-,,-,,-,1,,1,,,-,"NEVADA
(39.283294, -114.916992)",
ALASKA,2019,19,,-,3,,1,,2,,,-,2,,,-,,-,"ALASKA
(63.631126, -151.631889)",
INDIANA,2019,19,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.919991, -86.2818)",
DELAWARE,2019,19,,-,2,,,-,1,,,-,1,,2,,,-,"DELAWARE
(38.994926, -75.452394)",
WEST SOUTH CENTRAL,2019,19,,-,9,,6,,26,,,-,15,,20,,51,,,WEST SOUTH CENTRAL
