Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
380564,,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE AND PANEL REPAIR/REPLACE PROJECT,"OVERHEAD SIGN STRUCTURE AND PANEL REPAIR/REPLACE PROJECT, VARIOUS LOCATIONS, REGION WIDE",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,500000.00,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will repair structurally deficient overhead sign structures in Central NY. Work may address weld cracks, missing or loose bolts, corrosion, deteriorated footings and may include the repalcement of sign panels.",,,,,,,
380567,,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACE PROJECT,"REGIONAL OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACEMENT PROJECT, ONONDAGA COUNTY",In Development,Fall 2018,Winter 2019/2020,Spring 2020,Fall 2020,1900000.00,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will repair or replace structurally deficient overhead sign structures in Onondaga County. Work may address weld cracks, missing or loose bolts, corrosion, deteriorated footings and may include the replacement of sign panels.",,,,,,,
380572,,03 CENTRAL NEW YORK,GROUND MOUNTED SIGN REPLACEMENT PROJECT,"GROUND MOUNTED SIGN REPLACEMENT PROJECT , RT 31 FROM BALDWINSVILLE TO RT 481 AND RT 5 FROM SYRACUSE CITY LINE TO MADISON COUNTY LINE, TOWNS OF CLAY, DEWITT, LYSANDER AND MANLIUS, VILLAGE OF FAYETTEVILLE, ONONDAGA COUNTY",Future Development,,Fall 2031,Winter 2031/2032,Spring 2032,500000.00,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380575,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDERAIL REPLACEMENT PROJECT, CAYUGA, CORTLAND,  OSWEGO AND SENECA COUNTIES, MULTIPLE LOCATIONS ON AND OFF FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS",Future Development,,Spring 2021,Summer 2021,Fall 2021,1000000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380592,D263657,03 CENTRAL NEW YORK,"RETAINING WALL PROJECT CAYUGA, CORTLAND, ONONDAGA COUNTIES","RETAINING WALL PROJECT ROUTES I81, 90 AND 41A. TOWNS OF HOMER, LAFAYETTE AND LOCKE, CAYUGA, CORTLAND AND ONONDAGA COUNTIES, 8 LOCATIONS ON FEDERAL AID SYSTEM, TO BRING TO A STATE OF GOOD REPAIR",Completed Project,Summer 2009,03/22/2018,,,,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,"This project involves the repair or replacement of highway retaining walls on Route I-81 in the Town of Lafayette, Onondaga County, Route 41A in the Town of Homer, Cortland County and on Route 90 in the Town of Locke, Cayuga County.",05/08/2018,2862631,1008021,3870652,10/22/2019,RED,RED
380598,,03 CENTRAL NEW YORK,REGIONAL LARGE CULVERT REHAB/REPLACEMENT PROJECT,"REGIONAL LARGE CULVERT REHABILITATION/ REPLACEMENT PROJECT, CORTLAND AND SENECA COUNTIES, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, IMPROVE HIGHWAY DRAINAGE SYSTEMS",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,2000000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will rehabilitate and replace various large culverts and maintain and improve the overall highway drainage systems at these locations along State highways in Central New York.,,,,,,,
380600,,03 CENTRAL NEW YORK,"SAFETAP PROJECT, SENECA COUNTY","SAFETAP PROJECT RT 5, RT 96 AND RT 414, TOWNS OF WATERLOO, SENECA FALLS, TYRE, COVERT, OVID AND ROMULUS, VILLAGES OF INTERLAKEN AND OVID,  SENECA COUNTY.  LOCATIONS ON  FEDERAL AID SYSTEM, TO IMPROVE SAFETY",In Development,Fall 2017,Summer 2020,Fall 2020,Winter 2020/2021,1900000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"The project involves roadside safety related improvements along various State highways in Seneca County including guide rail replacement, signage improvements and removal or sheilding of potential roadside hazards.",,,,,,,
380609,,03 CENTRAL NEW YORK,"LOCUST ST OVER CAYUGA-SENECA CANAL, SENECA CO","LOCUST STREET OVER THE CAYUGA-SENECA CANAL BRIDGE REHABILITATION, VILLAGE OF WATERLOO, SENECA COUNTY.  BIN 4435140, SUPERSTRUCTURE REPLACEMENT",In Development,Spring 2017,Fall 2020,Winter 2020/2021,Fall 2021,2800000.00,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will perform a major rehabilitation on the bridge carrying Locust Street over the Cayuga Seneca Canal, in the village of Waterloo, in Seneca County. The bridge is currently closed to both vehicles and pedestrians. Work will restore the bridge",,,,,,,
380616,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,Future Development,,Fall 2027,Winter 2027/2028,Spring 2028,500000.00,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380621,,03 CENTRAL NEW YORK,"RETAINING WALL PROJECT I690 & RT 298, ONONDAGA COUNTY","RETAINING WALL PROJECT. ROUTES I-690, AND 298, ONONDAGA COUNTY MISCELLANEOUS APPURTENANCES. REHABILITATION  OF RETAINING WALLS.  REHAB & SAFETY.",In Development,Summer 2017,Summer 2021,Fall 2021,Winter 2021/2022,1700000.00,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,This project involves the repair of highway retaining walls at various locations along State highways in Onondaga County.,,,,,,,
380626,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDE RAIL REPLACEMENT PROJECT, CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES",Future Development,,Winter 2021/2022,Winter 2021/2022,Spring 2023,1000000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380627,,03 CENTRAL NEW YORK,REGIONAL SMALL CULVERT REHABILITATION PROJECT- OSWEGO CO,"REGIONAL SMALL CULVERT REHABILITATION PROJECT, I-81, TOWNS OF ALBION, PARISH, RICHLAND AND SANDY CREEK, VILLAGES OF PARISH AND PULASKI, OSWEGO COUNTY, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, IMPROVE HIGHWAY DRAINAGE SYSTEMS",In Development,Fall 2017,Fall 2020,Winter 2020/2021,Spring 2021,500000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project involves the improvement of highway drainage systems with the repair of small size culverts and drainage structures at various locations along I-81 in Oswego County.,,,,,,,
380630,,03 CENTRAL NEW YORK,"SAFETAP PROJECT, OSWEGO COUNTY","SAFETAP PROJECT, OSWEGO COUNTY.  ON AND OFF FEDERAL AID SYSTEM, TO IMPROVE SAFETY",Future Development,,Summer 2021,Fall 2021,Winter 2021/2022,1500000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"The project involves roadside safety related improvements along various State highways in Oswego County including guide rail replacement, signage improvements and removal or sheilding of potential roadside hazards.",,,,,,,
380631,,03 CENTRAL NEW YORK,REGIONAL TREE REMOVAL PROJECT,REGIONAL TREE REMOVAL PROJECT,Future Development,,Fall 2028,Winter 2028/2029,Fall 2029,500000.00,Yes,Yes,No,This project involves the removal of brush and trees.,This project will cut down and remove trees and brush at various locations which represent a potential hazard along State highways in Central New York.,,,,,,,
380632,,03 CENTRAL NEW YORK,REGIONAL LARGE CULVERT REHAB/REPLACE PROJECT,"REGIONAL LARGE CULVERT REHABILITATION/REPLACEMENT PROJECT,  RT 5, RT 20, RT 370 AND I-81, TOWNS OF SENNETT, PARISH, CATO, AURELIUS, RICHLAND AND SANDY CREEK, CAYUGA AND OSWEGO COUNTIES, PREVENTIVE MAINTENENCE TO BRING TO A STATE OF GOOD REPAIR",In Development,Summer 2018,Fall 2020,Winter 2020/2021,Spring 2022,1000000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will rehabilitate or replace large culverts and maintain and improve the overall highway drainage systems at locations in Cayuga and Oswego counties.,,,,,,,
380646,D262917,03 CENTRAL NEW YORK,REGIONAL SIGNAL CONTRACT,"REGIONAL SIGNAL CONTRACT   2 YEARS, 2015-2016. VARIOUS LOCATIONS. REGIONWIDE.  TRAFFIC SIGNALS.  SAFETY.",Under Construction,Winter 2013/2014,06/04/2015,,,,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Cayuga, Cortland, Onondaga, Oswego, Seneca and Tompkins counties.",07/29/2015,1874832,191455,2066288,12/01/2018,RED,RED
380647,,03 CENTRAL NEW YORK,"RT 49 ADA SIDEWALK IMPRMTS, TOWN OF CONSTANTIA, OSWEGO CO","RT 49 ADA SIDEWALK AND RAMP IMPROVEMENT PROJECT FREDERICK ST TO LINIMENT ST,  TOWN OF CONSTANTIA, OSWEGO COUNTY. MISCELLANEOUS APPURTENANCES. SIDEWALKS. IMPROVE PEDESTRIAN SAFETY AND ACCESSIBILITY",In Development,Fall 2018,Fall 2020,Winter 2020/2021,Spring 2021,500000.00,Yes,Yes,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","This project will rehabilitate or replace existing sidewalks to meet the Americans with Disabilities Act standards along Route 49 in the Hamlet of Constantia, Oswego County.",,,,,,,
380665,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDE RAIL REPLACEMENT PROJECT, CAYUGA, CORTLAND, OSWEGO AND SENECA  COUNTIES",Future Development,,Winter 2022/2023,Winter 2022/2023,Winter 2023/2024,1000000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380666,D263810,03 CENTRAL NEW YORK,"SAFETAP PROJECT, CORTLAND COUNTY","SAFETAP PROJECT ROUTES 41, 26, 13 AND 90, TOWNS OF CORTLANDVILLE, CUYLER, HOMER, SCOTT, SOLON, TRUXTON AND WILLETT, VILLAGES OF HOMER AND MCGRAW, CORTLAND COUNTY, GUIDERAIL, SIGNS, DRAINAGE IMPROVEMENTS TO IMPROVE SAFETY",Under Construction,Fall 2016,03/14/2019,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will improve roadside safety by addressing needs identified in surveys by NYSDOT personnel. The identified roadside safety work, along with various routes in Cortland County, will include signs, delineators/reference markers, pavement stripin",04/30/2019,861423,14120,875543,12/01/2019,GREEN,GREEN
380668,,03 CENTRAL NEW YORK,"SAFETAP PROJECT, ONONDAGA COUNTY","SAFETAP PROJECT RT 5, RT 92, I-81,  I-690 AND RT 690, ONONDAGA COUNTY, TO IMPROVE SAFETY",Future Development,,Spring 2024,Summer 2024,Fall 2024,1700000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will improve roadside safety by addressing needs identified in surveys by NYSDOT personnel. Items of work may include replacing, or in some cases, removing guiderail, replacing faded or damaged signs, cleaning culverts, flattening slopes or r",,,,,,,
380673,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,"REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT, CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES",Future Development,,Fall 2023,Winter 2023/2024,Fall 2024,500000.00,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380689,,03 CENTRAL NEW YORK,"SIGNAL PROJECT, ONONDAGA COUNTY","SIGNAL PROJECT, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS, ONONDAGA AND OSWEGO COUNTIES, LOCATIONS WITHIN SMTC",Future Development,,Spring 2023,Summer 2023,Spring 2024,3200000.00,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Ononondaga and Oswego Counties.",,,,,,,
380695,,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACE,"OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACEMENT PROJECT. VARIOUS LOCATIONS ON FEDERAL AID SYSTEM, ONONDAGA COUNTY, TO BRING TO A STATE OF GOOD REPAIR AND IMPROVE  HIGHWAY SAFETY",In Development,Winter 2013/2014,Fall 2030,Winter 2030/2031,Spring 2031,500000.00,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will rehabilitate or replace sign structures and sign panels at various locations in Onondaga county. Sign structure problems typically include cracks, corrosion and deteriorated concrete footings. Panels may be missing, faded or have incompl",,,,,,,
380697,,03 CENTRAL NEW YORK,"TREE REMOVAL PROJECT, ONONDAGA COUNTY","TREE REMOVAL PROJECT, RT 5, RT 20 AND RT 92, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Spring 2024,500000.00,Yes,Yes,No,This project involves the removal of brush and trees.,This project will cut down and remove trees and brush at various locations which represent a potential hazard along State highways in Onondaga County.,,,,,,,
380717,,03 CENTRAL NEW YORK,"GROUND MOUNTED SIGN REPLACEMENT PROJECT I-481, RT 92, RT 173","GROUND MOUNTED SIGN REPLACEMENT PROJECT. I-481,  I-81 FOREST INTERCHANGE TO I-690,  , TOWNS OF ONONDAGA AND DEWITT, CITY OF SYRACUSE, ONONDAGA COUNTY",Future Development,,Winter 2023/2024,Spring 2024,Winter 2024/2025,1000000.00,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace deficient, damaged, non-reflective, missing or worn roadside delineators and small ground mounted warning, guide and regulatory signs along Route 481 between I-81 and I-690 in the towns of Onondaga and DeWitt and the City of Syra",,,,,,,
380722,D262880,03 CENTRAL NEW YORK,REGIONAL CULVERT JOB ORDER CONTRACT,"REGIONAL CULVERT JOB ORDER CONTRACT SFY 15 AND 16.  CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES.",Completed Project,Fall 2014,04/23/2015,,,,No,Yes,No,This project involves the repair and replacement of culverts.,This project will allow for the quick repair of collapsed or hydraulically deficient culverts on an as-needed basis. The locations where this job order contract will be used will be those in which needed repairs are beyond the normal capabilities of NYSDO,05/19/2015,968396,1936792,2905187,09/30/2019,RED,RED
380724,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT - PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Fall 2032,Winter 2032/2033,Fall 2033,1500000.00,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380725,,03 CENTRAL NEW YORK,REGIONAL SIGNAL PROJECT,"REGIONAL SIGNAL PROJECT, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Fall 2025,Fall 2025,Spring 2026,3000000.00,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Cayuga, Cortland, Onondaga, Oswego, Seneca and Tompkins counties.",,,,,,,
380728,D264075,03 CENTRAL NEW YORK,REGIONAL LARGE CULVERT REHABILITATION PROJECT,"REGIONAL LARGE CULVERT REHABILITATION PROJECT, TOWNS OF MANLIUS AND SALINA, ONONDAGA COUNTY",Under Construction,Fall 2017,12/19/2019,,,,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will repair various large culverts and maintain and improve the overall highway drainage systems at these locations along State highways in Onondaga County.,02/03/2020,490758,0,490758,12/01/2020,GREEN,GREEN
380729,,03 CENTRAL NEW YORK,REGIONAL LARGE CULVERT REHAB/REPLACEMENT PROJECT,"REGIONAL LARGE CULVERT REHABILITATION/ REPLACEMENT PROJECT ROUTES 414, 481, I81, 11, AND 41, CORTLAND, OSWEGO AND SENECA COUNTIES, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, IMPROVE HIGHWAY DRAINAGE SYSTEMS",In Development,Summer 2017,Fall 2019,Fall 2019,Spring 2020,2300000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will rehabilitate and replace various large culverts and maintain and improve the overall highway drainage systems at these locations along State highways in Central New York.,,,,,,,
380731,D263544,03 CENTRAL NEW YORK,REGIONAL TRAFFIC SIGNAL PROJECT,"REGIONAL TRAFFIC SIGNAL PROJECT, CAYUGA, CORTLAND, ONONDAGA , OSWEGO, SENECA AND TOMPKINS COUNTIES, MULTIPLE LOCATIONS ON AND OFF FEDERAIL AID SYSTEM,  HIGHWAY SAFETY",Under Construction,Spring 2016,10/05/2017,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Cayuga, Cortland, Onondaga, Oswego, Seneca and Tompkins counties.",11/03/2017,1841973,115086,1957058,10/16/2019,GREEN,YELLOW
