Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, flag",Location 1,Location 2
MAINE,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW HAMPSHIRE,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MARYLAND,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DELAWARE,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
UTAH,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WISCONSIN,2019,16,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
GUAM,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTHERN MARIANA ISLANDS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW MEXICO,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OREGON,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",
NEW ENGLAND,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
U.S. VIRGIN ISLANDS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW JERSEY,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",
KANSAS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",
VIRGINIA,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",
EAST NORTH CENTRAL,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
NORTH CAROLINA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",
ARKANSAS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",
MINNESOTA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",
EAST SOUTH CENTRAL,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
ALASKA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",
OHIO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",
WEST VIRGINIA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",
ILLINOIS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",
DISTRICT OF COLUMBIA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",
ALABAMA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",
TOTAL,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
NEW MEXICO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",
NEW HAMPSHIRE,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",
NORTH DAKOTA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",
PACIFIC,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
WISCONSIN,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",
US RESIDENTS,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
PENNSYLVANIA,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",
LOUISIANA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",
US TERRITORIES,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MOUNTAIN,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
NEW YORK CITY,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
WEST NORTH CENTRAL,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
NEBRASKA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",
AMERICAN SAMOA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
OKLAHOMA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",
TENNESSEE,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",
TEXAS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",
MISSOURI,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",
SOUTH CAROLINA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",
MICHIGAN,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",
CONNECTICUT,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",
MONTANA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",
INDIANA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",
IDAHO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",
UTAH,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",
MARYLAND,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",
WEST SOUTH CENTRAL,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
IOWA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",
MISSISSIPPI,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",
FLORIDA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",
WYOMING,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",
VERMONT,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",
CALIFORNIA,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",
GUAM,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",
WASHINGTON,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",
RHODE ISLAND,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",
DELAWARE,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",
NEW YORK,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",
NORTHERN MARIANA ISLANDS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",
MASSACHUSETTS,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",
SOUTH ATLANTIC,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
NEVADA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",
HAWAII,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",
MAINE,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",
KENTUCKY,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",
MIDDLE ATLANTIC,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC
SOUTH DAKOTA,2019,17,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",
GEORGIA,2019,17,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",
MOUNTAIN,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
NEVADA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",
NEW HAMPSHIRE,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",
OKLAHOMA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",
NORTH CAROLINA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",
NEW ENGLAND,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
KENTUCKY,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",
LOUISIANA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",
VERMONT,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",
GEORGIA,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",
SOUTH CAROLINA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",
PACIFIC,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
UTAH,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",
MAINE,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",
IOWA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",
ILLINOIS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",
AMERICAN SAMOA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
INDIANA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",
NEW JERSEY,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",
TOTAL,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
VIRGINIA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",
MASSACHUSETTS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",
DISTRICT OF COLUMBIA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",
US TERRITORIES,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
WYOMING,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",
RHODE ISLAND,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",
PENNSYLVANIA,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",
CONNECTICUT,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",
WEST NORTH CENTRAL,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
NEW YORK CITY,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
SOUTH DAKOTA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",
MISSISSIPPI,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",
ALASKA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",
US RESIDENTS,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
HAWAII,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",
WASHINGTON,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",
MIDDLE ATLANTIC,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC
IDAHO,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",
KANSAS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",
WEST SOUTH CENTRAL,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
NEW YORK,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",
NORTHERN MARIANA ISLANDS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",
MICHIGAN,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",
OREGON,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",
MONTANA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",
NEW MEXICO,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",
ARKANSAS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",
TENNESSEE,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",
SOUTH ATLANTIC,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
FLORIDA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",
MARYLAND,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",
U.S. VIRGIN ISLANDS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARIZONA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",
ALABAMA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",
DELAWARE,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",
NON-US RESIDENTS,2019,18,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
EAST NORTH CENTRAL,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
PUERTO RICO,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TEXAS,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",
MINNESOTA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",
COLORADO,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",
NEBRASKA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",
WISCONSIN,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",
NORTH DAKOTA,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",
OHIO,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",
CALIFORNIA,2019,18,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",
EAST SOUTH CENTRAL,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MISSOURI,2019,18,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",
MONTANA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",
SOUTH CAROLINA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",
ILLINOIS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",
IDAHO,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",
EAST NORTH CENTRAL,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
ARKANSAS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",
US TERRITORIES,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MISSOURI,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",
MINNESOTA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",
OREGON,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",
NEW JERSEY,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",
NEBRASKA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",
NORTH CAROLINA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",
AMERICAN SAMOA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
CALIFORNIA,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",
TOTAL,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
NEW YORK CITY,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
WASHINGTON,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",
TENNESSEE,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",
CONNECTICUT,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",
DELAWARE,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",
ALASKA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",
EAST SOUTH CENTRAL,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MICHIGAN,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",
DISTRICT OF COLUMBIA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",
U.S. VIRGIN ISLANDS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTHERN MARIANA ISLANDS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WISCONSIN,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",
NEVADA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",
INDIANA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",
IOWA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",
OKLAHOMA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",
WEST SOUTH CENTRAL,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
NON-US RESIDENTS,2019,19,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEW ENGLAND,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MASSACHUSETTS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",
SOUTH DAKOTA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",
TEXAS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",
HAWAII,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",
UTAH,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",
VIRGINIA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",
NEW YORK,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",
MAINE,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",
COLORADO,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",
SOUTH ATLANTIC,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
RHODE ISLAND,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",
VERMONT,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",
WEST VIRGINIA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",
GEORGIA,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",
LOUISIANA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",
NORTH DAKOTA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",
KANSAS,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",
MARYLAND,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",
PENNSYLVANIA,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",
NEW MEXICO,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",
PACIFIC,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
MOUNTAIN,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PUERTO RICO,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ALABAMA,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",
NEW HAMPSHIRE,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",
MIDDLE ATLANTIC,2019,19,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC
WEST NORTH CENTRAL,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
KENTUCKY,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",
GUAM,2019,19,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
